cartodb_id,from_iso,from_x,from_y,quantity,to_iso,to_x,to_y,created_at,updated_at,the_geom
5409,PG,145.241749,-6.478378,53,ES,-3.280887,40.304531,2012/04/22  0:16:18,2012/04/22  0:16:18,
5410,GL,-41.389477,74.720912,3,FR,2.618787,47.824905,2012/04/22  0:16:18,2012/04/22  0:16:18,
5411,PL,19.300636,52.12461,5,SU,,,2012/04/22  0:16:18,2012/04/22  0:16:18,
5412,BE,4.663989,50.642851,707,GB,-1.428851,52.576441,2012/04/22  0:16:18,2012/04/22  0:16:18,
5413,SY,38.505592,35.013048,3,KW,47.590604,29.341212,2012/04/22  0:16:18,2012/04/22  0:16:18,
5414,TW,,,9,SE,17.675409,64.964875,2012/04/22  0:16:18,2012/04/22  0:16:18,
5415,AU,134.489563,-25.734968,365,TH,101.017438,15.127333,2012/04/22  0:16:18,2012/04/22  0:16:18,
5416,TH,101.017438,15.127333,580,CZ,15.338412,49.742859,2012/04/22  0:16:18,2012/04/22  0:16:18,
5417,NI,-85.034783,12.839905,2,KR,128.168944,36.536236,2012/04/22  0:16:18,2012/04/22  0:16:18,
5418,CK,,,1,AU,134.489563,-25.734968,2012/04/22  0:16:18,2012/04/22  0:16:18,
5419,VN,108.339537,14.315424,6,SU,,,2012/04/22  0:16:18,2012/04/22  0:16:18,
5420,BI,29.887146,-3.532454,1,ES,-3.280887,40.304531,2012/04/22  0:16:18,2012/04/22  0:16:18,
5421,GI,,,5,CH,8.234392,46.802496,2012/04/22  0:16:18,2012/04/22  0:16:18,
5422,MC,7.412821,43.747981,43,CH,8.234392,46.802496,2012/04/22  0:16:18,2012/04/22  0:16:18,
5423,UA,31.320283,49.322794,8,NL,5.580444,52.274688,2012/04/22  0:16:18,2012/04/22  0:16:18,
5424,MC,7.412821,43.747981,1,NZ,171.7799,-41.838875,2012/04/22  0:16:18,2012/04/22  0:16:18,
5425,AO,17.912292,-12.099395,213,PT,-8.562731,39.600995,2012/04/22  0:16:18,2012/04/22  0:16:18,
5426,IR,54.301374,32.565838,9,NL,5.580444,52.274688,2012/04/22  0:16:18,2012/04/22  0:16:18,
